indice,data,horario,POX
"563","2018-09-13","20:39:00","646"
"564","2018-09-13","20:39:00","684"
"565","2018-09-13","20:39:00","707"
"566","2018-09-13","20:39:00","714"
"567","2018-09-13","20:39:00","712"
"568","2018-09-13","20:39:00","694"
"569","2018-09-13","20:39:00","666"
"570","2018-09-13","20:39:00","594"
"571","2018-09-13","20:39:00","546"
"572","2018-09-13","20:39:00","505"
"573","2018-09-13","20:39:00","464"
"574","2018-09-13","20:39:00","436"
"575","2018-09-13","20:39:00","406"
"576","2018-09-13","20:39:00","406"
"577","2018-09-13","20:39:00","377"
"578","2018-09-13","20:39:00","365"
"579","2018-09-13","20:39:00","354"
"580","2018-09-13","20:39:00","356"
"581","2018-09-13","20:39:00","355"
"582","2018-09-13","20:39:00","375"
"583","2018-09-13","20:39:00","403"
"584","2018-09-13","20:39:00","424"
"585","2018-09-13","20:39:00","454"
"586","2018-09-13","20:39:00","479"
"587","2018-09-13","20:39:00","505"
"588","2018-09-13","20:39:00","527"
"589","2018-09-13","20:39:00","548"
"590","2018-09-13","20:39:00","565"
"591","2018-09-13","20:39:00","567"
"592","2018-09-13","20:39:00","572"
"593","2018-09-13","20:39:00","566"
"594","2018-09-13","20:39:00","564"
"595","2018-09-13","20:39:00","554"
"596","2018-09-13","20:39:00","548"
"597","2018-09-13","20:39:00","535"
"598","2018-09-13","20:39:00","522"
"599","2018-09-13","20:39:00","509"
"600","2018-09-13","20:39:00","454"
"601","2018-09-13","20:39:00","445"
"602","2018-09-13","20:39:00","438"
"603","2018-09-13","20:39:00","433"
"604","2018-09-13","20:39:00","433"
"605","2018-09-13","20:39:00","456"
"606","2018-09-13","20:39:00","452"
"607","2018-09-13","20:39:00","446"
"608","2018-09-13","20:39:00","444"
"609","2018-09-13","20:39:00","442"
"610","2018-09-13","20:39:00","440"
"611","2018-09-13","20:39:00","446"
"612","2018-09-13","20:39:00","448"
"613","2018-09-13","20:39:00","450"
"614","2018-09-13","20:39:00","452"
"615","2018-09-13","20:39:00","456"
"616","2018-09-13","20:39:00","460"
"617","2018-09-13","20:39:00","466"
"618","2018-09-13","20:39:00","472"
"619","2018-09-13","20:39:00","481"
"620","2018-09-13","20:39:00","530"
"621","2018-09-13","20:39:00","582"
"622","2018-09-13","20:39:00","634"
"623","2018-09-13","20:39:00","682"
"624","2018-09-13","20:39:00","726"
"625","2018-09-13","20:39:00","759"
"626","2018-09-13","20:39:00","784"
"627","2018-09-13","20:39:00","783"
"628","2018-09-13","20:39:00","779"
"629","2018-09-13","20:39:00","743"
"630","2018-09-13","20:39:00","692"
"631","2018-09-13","20:39:00","658"
"632","2018-09-13","20:39:00","615"
"633","2018-09-13","20:39:00","575"
"634","2018-09-13","20:39:00","533"
"635","2018-09-13","20:39:00","487"
"636","2018-09-13","20:39:00","441"
"637","2018-09-13","20:39:00","410"
"638","2018-09-13","20:39:00","372"
"639","2018-09-13","20:39:00","362"
"640","2018-09-13","20:39:00","363"
"641","2018-09-13","20:39:00","371"
"642","2018-09-13","20:39:00","386"
"643","2018-09-13","20:39:00","398"
"644","2018-09-13","20:39:00","418"
"645","2018-09-13","20:39:00","432"
"646","2018-09-13","20:39:00","453"
"647","2018-09-13","20:39:00","469"
"648","2018-09-13","20:39:00","484"
"649","2018-09-13","20:39:00","503"
"650","2018-09-13","20:39:00","529"
"651","2018-09-13","20:39:00","538"
"652","2018-09-13","20:39:00","542"
"653","2018-09-13","20:39:00","541"
"654","2018-09-13","20:39:00","539"
"655","2018-09-13","20:39:00","531"
"656","2018-09-13","20:39:00","522"
"657","2018-09-13","20:39:00","502"
"658","2018-09-13","20:39:00","484"
"659","2018-09-13","20:39:00","480"
"660","2018-09-13","20:39:00","473"
"661","2018-09-13","20:39:00","474"
"662","2018-09-13","20:39:00","495"
"663","2018-09-13","20:39:00","490"
"664","2018-09-13","20:39:00","484"
"665","2018-09-13","20:39:00","478"
"666","2018-09-13","20:39:00","480"
"667","2018-09-13","20:39:00","470"
"668","2018-09-13","20:39:00","474"
"669","2018-09-13","20:39:00","474"
"670","2018-09-13","20:39:00","481"
"671","2018-09-13","20:39:00","480"
"672","2018-09-13","20:39:00","485"
"673","2018-09-13","20:39:00","482"
"674","2018-09-13","20:39:00","479"
"675","2018-09-13","20:39:00","475"
"676","2018-09-13","20:39:00","461"
"677","2018-09-13","20:39:00","451"
"678","2018-09-13","20:39:00","457"
"679","2018-09-13","20:39:00","460"
"680","2018-09-13","20:39:00","506"
"681","2018-09-13","20:39:00","546"
"682","2018-09-13","20:39:00","599"
"683","2018-09-13","20:39:00","651"
"684","2018-09-13","20:39:00","709"
"685","2018-09-13","20:39:00","753"
"686","2018-09-13","20:39:00","776"
"687","2018-09-13","20:39:00","801"
"688","2018-09-13","20:39:00","798"
"689","2018-09-13","20:39:00","792"
"690","2018-09-13","20:39:00","722"
"691","2018-09-13","20:39:00","687"
"692","2018-09-13","20:39:00","637"
"693","2018-09-13","20:39:00","579"
"694","2018-09-13","20:39:00","527"
"695","2018-09-13","20:39:00","466"
"696","2018-09-13","20:39:00","438"
"697","2018-09-13","20:39:00","407"
"698","2018-09-13","20:39:00","388"
"699","2018-09-13","20:39:00","374"
"700","2018-09-13","20:39:00","365"
"701","2018-09-13","20:39:00","371"
"702","2018-09-13","20:39:00","380"
"703","2018-09-13","20:39:00","400"
"704","2018-09-13","20:39:00","415"
"705","2018-09-13","20:39:00","434"
"706","2018-09-13","20:39:00","459"
"707","2018-09-13","20:39:00","483"
"708","2018-09-13","20:39:00","502"
"709","2018-09-13","20:39:00","523"
"710","2018-09-13","20:39:00","553"
"711","2018-09-13","20:39:00","559"
"712","2018-09-13","20:39:00","565"
"713","2018-09-13","20:39:00","560"
"714","2018-09-13","20:39:00","541"
"715","2018-09-13","20:39:00","533"
"716","2018-09-13","20:39:00","523"
"717","2018-09-13","20:39:00","517"
"718","2018-09-13","20:39:00","508"
"719","2018-09-13","20:39:00","500"
"720","2018-09-13","20:39:00","510"
"721","2018-09-13","20:39:00","502"
"722","2018-09-13","20:39:00","495"
"723","2018-09-13","20:39:00","487"
"724","2018-09-13","20:39:00","471"
"725","2018-09-13","20:39:00","469"
"726","2018-09-13","20:39:00","465"
"727","2018-09-13","20:39:00","464"
"728","2018-09-13","20:39:00","465"
"729","2018-09-13","20:39:00","469"
"730","2018-09-13","20:39:00","475"
